Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2021-05-18,4127.83007812,4169.14990234,4125.99023438,4165.93994141,4398150000
2021-05-19,4115.68017578,4116.93017578,4061.40991211,4098.45019531,4247450000
2021-05-20,4159.12011719,4172.79980469,4121.97021484,4121.97021484,3978880000
2021-05-21,4155.85986328,4188.72021484,4151.72021484,4168.60986328,3995250000
2021-05-24,4197.04980469,4209.52001953,4170.16015625,4170.16015625,3684800000
2021-05-25,4188.12988281,4213.41992188,4182.52001953,4205.93994141,4182250000
2021-05-26,4195.99023438,4202.60986328,4184.10986328,4191.58984375,4420890000
2021-05-27,4200.87988281,4213.37988281,4197.77978516,4201.93994141,6406310000
2021-05-28,4204.10986328,4218.35986328,4203.56982422,4210.77001953,4649250000
2021-06-01,4202.04003906,4234.12011719,4197.58984375,4216.52001953,5074670000
2021-06-02,4208.12011719,4217.37011719,4198.27001953,4206.81982422,5833670000
2021-06-03,4192.85009766,4204.39013672,4167.93017578,4191.43017578,5587970000
2021-06-04,4229.89013672,4233.45019531,4206.04980469,4206.04980469,4139790000
2021-06-07,4226.52001953,4232.33984375,4215.66015625,4229.33984375,4476920000
2021-06-08,4227.25976562,4236.74023438,4208.41015625,4233.81005859,4659620000
2021-06-09,4219.54980469,4237.08984375,4218.74023438,4232.99023438,4713260000
2021-06-10,4239.18017578,4249.74023438,4220.33984375,4228.56005859,4408210000
2021-06-11,4247.43994141,4248.37988281,4232.25000000,4242.89990234,3815010000
2021-06-14,4255.14990234,4255.58984375,4234.06982422,4248.31005859,4151200000
2021-06-15,4246.58984375,4257.16015625,4238.35009766,4255.27978516,4048940000
2021-06-16,4223.70019531,4251.89013672,4202.45019531,4248.87011719,4538350000
2021-06-17,4221.85986328,4232.29003906,4196.04980469,4220.37011719,5312680000
2021-06-18,4166.45019531,4204.77978516,4164.39990234,4204.77978516,6817010000
2021-06-21,4224.79003906,4226.24023438,4173.39990234,4173.39990234,4128950000
2021-06-22,4246.43994141,4255.83984375,4217.27001953,4224.60986328,3828390000
2021-06-23,4241.83984375,4256.60009766,4241.43017578,4249.27001953,3730350000
2021-06-24,4266.49023438,4271.27978516,4256.97021484,4256.97021484,3816660000
2021-06-25,4280.70019531,4286.12011719,4271.16015625,4274.45019531,7341450000
2021-06-28,4290.60986328,4292.14013672,4274.66992188,4284.89990234,4147890000
2021-06-29,4291.79980469,4300.52001953,4287.04003906,4293.20996094,3707150000
2021-06-30,4297.50000000,4302.43017578,4287.95996094,4290.64990234,4266040000
2021-07-01,4319.93994141,4320.66015625,4300.72998047,4300.72998047,3788230000
2021-07-02,4352.33984375,4355.43017578,4326.60009766,4326.60009766,3225840000
2021-07-06,4343.54003906,4356.45996094,4314.37011719,4356.45996094,4309570000
2021-07-07,4358.12988281,4361.87988281,4329.79003906,4351.00976562,4037380000
2021-07-08,4320.81982422,4330.87988281,4289.37011719,4321.06982422,4347500000
2021-07-09,4369.54980469,4371.60009766,4329.37988281,4329.37988281,3531120000
2021-07-12,4384.62988281,4386.68017578,4364.02978516,4372.41015625,3384460000
2021-07-13,4369.20996094,4392.37011719,4366.91992188,4381.06982422,3695430000
2021-07-14,4374.29980469,4393.68017578,4362.35986328,4380.10986328,4006370000
2021-07-15,4360.02978516,4369.02001953,4340.70019531,4369.02001953,3905230000
2021-07-16,4327.16015625,4375.08984375,4322.52978516,4367.43017578,3985700000
2021-07-19,4258.49023438,4296.39990234,4233.12988281,4296.39990234,5157660000
2021-07-20,4323.06005859,4336.83984375,4262.04980469,4265.10986328,4438270000
2021-07-21,4358.68994141,4359.70019531,4331.12988281,4331.12988281,3810280000
2021-07-22,4367.47998047,4369.87011719,4350.06005859,4361.27001953,3358300000
2021-07-23,4411.79003906,4415.18017578,4381.20019531,4381.20019531,4540070000
2021-07-26,4422.29980469,4422.72998047,4405.45019531,4409.58007812,4275630000
2021-07-27,4401.45996094,4416.37988281,4372.50976562,4416.37988281,4241950000
2021-07-28,4400.64013672,4415.47021484,4387.00976562,4402.95019531,4215290000
2021-07-29,4419.14990234,4429.97021484,4403.58984375,4403.58984375,4044600000
2021-07-30,4395.25976562,4412.25000000,4389.64990234,4395.12011719,3956740000
2021-08-02,4387.16015625,4422.18017578,4384.81005859,4406.85986328,3724090000
2021-08-03,4423.14990234,4423.79003906,4373.00000000,4392.74023438,3965190000
2021-08-04,4402.66015625,4416.16992188,4400.22998047,4415.95019531,4260760000
2021-08-05,4429.10009766,4429.75976562,4408.85986328,4408.85986328,3769410000
2021-08-06,4436.52001953,4440.81982422,4429.06982422,4429.06982422,3451870000
2021-08-09,4432.35009766,4439.39013672,4424.74023438,4437.77001953,3449280000
2021-08-10,4436.75000000,4445.20996094,4430.02978516,4435.79003906,3886610000
2021-08-11,4442.41015625,4449.43994141,4436.41992188,4442.18017578,3532560000
2021-08-12,4460.83007812,4461.77001953,4435.95996094,4446.08007812,3375310000
2021-08-13,4468.00000000,4468.37011719,4460.81982422,4464.83984375,3016470000
2021-08-16,4479.70996094,4480.25976562,4437.66015625,4461.64990234,3370640000
